employeeid,firstname,lastname,gender,age,businesstravel,department,distancefromhome_km,state,ethnicity,education,educationfield,jobrole,maritalstatus,salary,stockoptionlevel,overtime,hiredate,attrition,yearsatcompany,yearsinmostrecentrole,yearssincelastpromotion,yearswithcurrmanager,performanceid,reviewdate,environmentsatisfaction,jobsatisfaction,relationshipsatisfaction,trainingopportunitieswithinyear,trainingopportunitiestaken,worklifebalance,selfrating,managerrating,satisfactionlevel,ratinglevel,educationlevel
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,PR1295,2016-10-30,3.0,3.0,2.0,3.0,0.0,4.0,3.0,3.0,Neutral,Meets Expectation,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,PR1908,2017-10-30,4.0,4.0,5.0,3.0,1.0,2.0,3.0,2.0,Satisfied ,Needs Improvement,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,PR2617,2018-10-30,5.0,5.0,4.0,3.0,0.0,4.0,5.0,5.0,Very Satisfied,Above and Beyond,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,PR3436,2019-10-30,1.0,3.0,2.0,3.0,1.0,3.0,5.0,4.0,Very Dissatisfied,Exceeds Expectation ,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,PR411,2014-10-31,3.0,4.0,2.0,1.0,0.0,3.0,4.0,3.0,Neutral,Meets Expectation,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,PR4378,2020-10-29,3.0,2.0,5.0,1.0,0.0,3.0,5.0,4.0,Neutral,Exceeds Expectation ,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,PR5415,2021-10-29,4.0,5.0,4.0,1.0,0.0,4.0,3.0,3.0,Satisfied ,Meets Expectation,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,PR6529,2022-10-29,4.0,2.0,4.0,1.0,0.0,2.0,5.0,4.0,Satisfied ,Exceeds Expectation ,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,PR791,2015-10-31,5.0,5.0,2.0,2.0,1.0,5.0,4.0,4.0,Very Satisfied,Exceeds Expectation ,Doctorate
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR1213,2016-07-30,3.0,3.0,2.0,2.0,0.0,5.0,4.0,4.0,Neutral,Exceeds Expectation ,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR1800,2017-07-30,3.0,5.0,5.0,2.0,0.0,2.0,4.0,3.0,Neutral,Meets Expectation,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR2477,2018-07-30,5.0,2.0,5.0,2.0,0.0,2.0,5.0,5.0,Very Satisfied,Above and Beyond,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR3267,2019-07-30,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,Satisfied ,Meets Expectation,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR376,2014-07-31,5.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,Very Satisfied,Exceeds Expectation ,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR4176,2020-07-29,3.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,Neutral,Meets Expectation,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR5192,2021-07-29,5.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,Very Satisfied,Exceeds Expectation ,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR6295,2022-07-29,3.0,4.0,4.0,3.0,0.0,2.0,5.0,4.0,Neutral,Exceeds Expectation ,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,PR741,2015-07-31,4.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,Satisfied ,Above and Beyond,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR1035,2016-04-08,3.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,Neutral,Needs Improvement,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR1583,2017-04-08,4.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,Satisfied ,Exceeds Expectation ,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR2235,2018-04-08,5.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,Very Satisfied,Needs Improvement,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR280,2014-04-09,5.0,2.0,3.0,1.0,0.0,2.0,4.0,4.0,Very Satisfied,Exceeds Expectation ,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR2981,2019-04-08,3.0,4.0,2.0,3.0,0.0,2.0,3.0,3.0,Neutral,Meets Expectation,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR3851,2020-04-07,4.0,2.0,3.0,3.0,0.0,5.0,3.0,2.0,Satisfied ,Needs Improvement,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR4841,2021-04-07,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,Satisfied ,Meets Expectation,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR5918,2022-04-07,4.0,5.0,3.0,3.0,0.0,4.0,4.0,3.0,Satisfied ,Meets Expectation,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,PR599,2015-04-09,3.0,4.0,3.0,1.0,0.0,5.0,4.0,4.0,Neutral,Exceeds Expectation ,Masters 
